area_type,availability,location,size,society,total_sqft,bath,balcony,price,location_numerical,Has Hall,Has Kitchen,Number of Bedrooms
Super built-up  Area,Ready To Move,Cleveland Town,2 BHK,Lehidrc,1100,2.0,1.0,85.0,342,1,1,2.0
Super built-up  Area,18-May,Rachenahalli,1 BHK,AsNowre,660 - 700,1.0,0.0,32.64,964,1,1,1.0
Plot  Area,Ready To Move,Jalahalli East,4 Bedroom,,720,4.0,2.0,48.0,590,-1,0,4.0
Plot  Area,Ready To Move,Gunjur,5 Bedroom,Chranya,6613,7.0,,950.0,484,-1,0,5.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Goeur G,1925,3.0,3.0,110.0,530,1,1,3.0
Built-up  Area,Ready To Move,Kengeri,1 BHK,,502,1.0,1.0,25.0,688,1,1,1.0
Built-up  Area,Ready To Move,Bommenahalli,3 Bedroom,Prood G,3339,3.0,0.0,250.0,272,-1,0,3.0
Built-up  Area,Ready To Move,Begur,3 BHK,Arhtsth,1475,2.0,2.0,74.0,231,1,1,3.0
Super built-up  Area,18-Aug,Indra Nagar,3 BHK,,1550,3.0,2.0,258.0,567,1,1,3.0
Super built-up  Area,18-Apr,Peenya,2 BHK,,966,2.0,1.0,49.0,924,1,1,2.0
Plot  Area,Ready To Move,t.c palya,6 Bedroom,,1350,6.0,3.0,160.0,1300,-1,0,6.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,2.0,75.0,506,1,1,2.0
Plot  Area,Ready To Move,Bagalur Main Road,5 Bedroom,,4400,4.0,1.0,350.0,186,-1,0,5.0
Super built-up  Area,21-May,Kogilu,3 BHK,Sourtal,1559,3.0,2.0,120.0,707,1,1,3.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1246,2.0,1.0,63.0,1242,1,1,2.0
Plot  Area,Ready To Move,Rajaji Nagar,3 Bedroom,,2790,3.0,0.0,950.0,976,-1,0,3.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,53.58,232,1,1,3.0
Plot  Area,Ready To Move,Varthur Road,4 Bedroom,,1300,3.0,0.0,75.0,1191,-1,0,4.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2.0,2.0,58.0,664,1,1,2.0
Plot  Area,Ready To Move,Ilyas Nagar,4 Bedroom,,900,4.0,1.0,75.0,561,-1,0,4.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1104,2.0,1.0,35.5,306,1,1,2.0
Built-up  Area,Ready To Move,Sultan Palaya,2 BHK,,900,2.0,2.0,45.0,1118,1,1,2.0
Built-up  Area,Ready To Move,3rd Phase JP Nagar,3 BHK,Shestth,1550,2.0,2.0,79.0,51,1,1,3.0
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,GolusLi,670,1.0,1.0,35.0,664,1,1,1.0
Super built-up  Area,19-Dec,Jakkur,2 BHK,Ceezey ,1483,2.0,1.0,98.0,584,1,1,2.0
Super built-up  Area,Ready To Move,Basapura,3 BHK,Saavenc,1540,2.0,2.0,70.0,219,1,1,3.0
Plot  Area,Ready To Move,Naganathapura,8 Bedroom,,1200,7.0,3.0,100.0,845,-1,0,8.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1255,2.0,1.0,54.5,518,1,1,2.0
Plot  Area,Ready To Move,OMBR Layout,3 Bedroom,,600,3.0,2.0,100.0,889,-1,0,3.0
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,,1036,2.0,2.0,110.0,600,1,1,2.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460,2.0,2.0,75.0,216,1,1,3.0
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,Wiaysld,1230,2.0,1.0,58.0,371,1,1,2.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1340,2.0,2.0,60.0,664,1,1,2.0
Built-up  Area,Ready To Move,Yelenahalli,3 BHK,,1600,3.0,3.0,61.37,1264,1,1,3.0
Built-up  Area,18-Apr,Hegde Nagar,3 BHK,SoisoCa,2162,3.0,1.0,200.0,515,1,1,3.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,919,2.0,2.0,40.0,417,1,1,2.0
Super built-up  Area,18-Aug,4th Phase JP Nagar,2 BHK,,1070,2.0,2.0,38.9,57,1,1,2.0
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,UmrldDr,1733,2.0,3.0,85.0,544,1,1,3.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3.0,3.0,72.0,606,1,1,3.0
Super built-up  Area,Ready To Move,kanakapura main road,2 BHK,,1041,2.0,1.0,36.44,1284,1,1,2.0
Built-up  Area,Ready To Move,Ambalipura,4 BHK,SJodsed,2550,4.0,2.0,149.0,108,1,1,4.0
Built-up  Area,Ready To Move,Shampura,3 BHK,,1400,3.0,1.0,70.0,1059,1,1,3.0
Plot  Area,Ready To Move,Anjanapura,1 Bedroom,,600,2.0,0.0,55.0,129,-1,0,1.0
Built-up  Area,Ready To Move,Nagarbhavi,1 BHK,MaentNa,710,2.0,2.0,40.0,848,1,1,1.0
Super built-up  Area,18-Apr,Electronic City,3 BHK,GMown E,1500,2.0,1.0,78.25,417,1,1,3.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,237.0,1153,1,1,4.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,3.0,175.0,98,1,1,3.0
Plot  Area,Ready To Move,Brookefield,5 Bedroom,,2400,5.0,2.0,325.0,277,-1,0,5.0
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,2.0,1.0,95.0,513,1,1,3.0
Super built-up  Area,Ready To Move,Malleshwaram,7 BHK,,2425,7.0,3.0,140.0,786,1,1,7.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1031,2.0,1.0,55.0,419,1,1,2.0
Super built-up  Area,18-Jul,Balagere,2 BHK,Soresea,1210,2.0,1.0,74.0,188,1,1,2.0
Super built-up  Area,Ready To Move,Anjanapura,2 BHK,ACopsva,950,2.0,1.0,40.0,129,1,1,2.0
Plot  Area,Ready To Move,Nagaraja Garden,4 Bedroom,,1376,4.0,1.0,156.0,847,-1,0,4.0
Super built-up  Area,18-Dec,Hosa Road,2 BHK,Mahesr ,1161,2.0,1.0,55.15,536,1,1,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1303,2.0,2.0,44.17,972,1,1,2.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,105.0,1153,1,1,2.0
Plot  Area,Ready To Move,Kengeri Satellite Town,2 Bedroom,,1200,2.0,1.0,65.0,690,-1,0,2.0
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,,1825,3.0,,175.0,223,1,1,3.0
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Bhhmi L,1015,2.0,0.0,48.0,216,1,1,2.0
Carpet  Area,Ready To Move,Mathikere,3 BHK,,1150,2.0,0.0,60.0,813,1,1,3.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010,2.0,1.0,40.0,1084,1,1,2.0
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,Sariana,1508,3.0,1.0,75.0,1000,1,1,3.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1275,2.0,1.0,87.0,72,1,1,2.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Kaiew L,1460,3.0,1.0,70.0,72,1,1,3.0
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,,946,2.0,2.0,58.0,895,1,1,2.0
Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,Alows M,1110,2.0,2.0,58.0,1217,1,1,2.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1832,3.0,1.0,125.0,522,1,1,3.0
Super built-up  Area,18-Apr,Hebbal,2 BHK,Arcia S,1088,2.0,2.0,61.45,513,1,1,2.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,104.0,1148,1,1,3.0
Super built-up  Area,18-Jan,Kadugodi,2 BHK,Prclee ,1030,2.0,1.0,35.02,635,1,1,2.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,,660,2.0,0.0,27.0,77,1,1,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Asncywo,1700,3.0,1.0,95.0,1039,1,1,3.0
Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,,1100,5.0,2.0,121.0,174,-1,0,4.0
Super built-up  Area,18-Feb,Panathur,2 BHK,,1205,2.0,2.0,62.9,914,1,1,2.0
Super built-up  Area,Ready To Move,Lottegolla Halli,3 BHK,,1950,3.0,2.0,90.0,759,1,1,3.0
Super built-up  Area,18-May,Devanahalli Int. Airport,2 BHK,,1080,2.0,1.0,62.0,366,1,1,2.0
Built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,2800,4.0,,140.0,139,1,1,4.0
Super built-up  Area,19-Jan,Mailasandra,2 BHK,Hanar I,999,2.0,1.0,43.66,778,1,1,2.0
Plot  Area,Ready To Move,Basvasamithi Layout Vidyaranyapura,4 Bedroom,,900,4.0,3.0,175.0,229,-1,0,4.0
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1300,2.0,1.0,89.76,664,1,1,2.0
Super built-up  Area,Ready To Move,HRBR Layout,2 BHK,Srayatr,1265,2.0,1.0,78.0,493,1,1,2.0
Built-up  Area,Ready To Move,Attibele,2 BHK,,1200,2.0,2.0,42.0,152,1,1,2.0
Super built-up  Area,18-Mar,Bhoganhalli,4 BHK,Rosha I,1974,4.0,0.0,106.0,252,1,1,4.0
Super built-up  Area,Ready To Move,Chelekare,2 BHK,Goezell,1180,2.0,2.0,40.0,308,1,1,2.0
Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,,1350,2.0,3.0,63.0,114,1,1,3.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,DiamiSa,1560,2.0,2.0,65.0,702,1,1,3.0
Plot  Area,Ready To Move,8th Block Jayanagar,2 Bedroom,,2800,2.0,0.0,650.0,73,-1,0,2.0
Super built-up  Area,18-Aug,Hosakerehalli,2 BHK,Maunt M,1085,2.0,1.0,41.23,539,1,1,2.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,J axyGa,1300,2.0,2.0,75.0,1222,1,1,3.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Afncyad,1600,3.0,2.0,56.0,799,1,1,3.0
Super built-up  Area,Ready To Move,Atmananda Colony,2 BHK,,1127,2.0,2.0,55.0,151,1,1,2.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,795,2.0,2.0,32.0,690,1,1,2.0
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1850,3.0,2.0,88.0,848,1,1,3.0
Built-up  Area,18-Jul,Bommasandra Industrial Area,2 BHK,,1020,2.0,1.0,29.45,271,1,1,2.0
Built-up  Area,Ready To Move,Doopanahalli,3 BHK,KroneMo,1475,2.0,1.0,200.0,405,1,1,3.0
Plot  Area,Ready To Move,Baba Nagar,3 Bedroom,,1200,3.0,3.0,96.25,180,-1,0,3.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,47.0,1179,1,1,3.0
Super built-up  Area,19-Nov,Kaikondrahalli,2 BHK,,849,2.0,1.0,25.4,639,1,1,2.0
Super built-up  Area,19-Sep,Kanakpura Road,3 BHK,Soazak ,1706,3.0,2.0,135.0,664,1,1,3.0
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100,4.0,1.0,180.0,1261,1,1,4.0
Super built-up  Area,Ready To Move,Nagadevanahalli,3 BHK,,1250,2.0,2.0,65.0,844,1,1,3.0
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1260,3.0,3.0,63.58,664,1,1,3.0
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,1265,2.0,1.0,65.0,533,1,1,3.0
Super built-up  Area,17-Nov,Abbigere,3 BHK,AdhriPa,1260,2.0,1.0,45.0,86,1,1,3.0
Super built-up  Area,18-Dec,Jalahalli,2 BHK,Vaniai ,1045,2.0,1.0,58.0,589,1,1,2.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,,3895,4.0,2.0,495.0,514,1,1,4.0
Super built-up  Area,18-May, Rachenahalli,1 RK,AsNowre,385 - 440,1.0,0.0,19.8,8,0,1,0.0
Super built-up  Area,17-Jun,Bellandur,2 BHK,,1100,2.0,3.0,62.0,236,1,1,2.0
Super built-up  Area,19-Sep,Kudlu Gate,2 BHK,Srods P,1113,2.0,1.0,50.0,722,1,1,2.0
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2774,4.0,3.0,208.0,895,1,1,4.0
Built-up  Area,Ready To Move,Varthur,2 BHK,Vaensia,1210,2.0,1.0,60.0,1190,1,1,2.0
Super built-up  Area,Ready To Move,Kogilu,1 BHK,,700,1.0,1.0,30.84,707,1,1,1.0
Super built-up  Area,18-May,Kanakpura Road,2 BHK,NellsKo,1155,2.0,1.0,55.5,664,1,1,2.0
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1132,2.0,1.0,89.0,530,1,1,2.0
Super built-up  Area,18-Jan,Hennur Road,2 BHK,Asadacy,1359,2.0,2.0,104.0,522,1,1,2.0
Super built-up  Area,Ready To Move,Byatarayanapura,4 BHK,Reeroce,2631,3.0,,200.0,283,1,1,4.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1145,2.0,2.0,56.0,716,1,1,2.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,Shenshi,600,1.0,1.0,30.0,62,1,1,1.0
Plot  Area,Ready To Move,Laggere,1 Bedroom,,1200,1.0,1.0,125.0,739,-1,0,1.0
Built-up  Area,Ready To Move,Mahalakshmi Puram,2 BHK,,830,2.0,1.0,60.0,776,1,1,2.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Ammesss,1009,2.0,2.0,56.0,494,1,1,2.0
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Soarkig,1800,3.0,2.0,195.0,223,1,1,3.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Niareum,1226,2.0,2.0,52.71,1261,1,1,2.0
Super built-up  Area,Ready To Move,Badrappa Layout,2 BHK,,1500,2.0,2.0,88.0,183,1,1,2.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1363,2.0,1.0,79.0,417,1,1,2.0
Built-up  Area,Ready To Move,Poorna Pragna Layout,3 Bedroom,,1400,2.0,1.0,240.0,928,-1,0,3.0
Built-up  Area,18-Dec,Bommasandra Industrial Area,2 BHK,,1165,2.0,1.0,33.64,271,1,1,2.0
Built-up  Area,Ready To Move,HSR Layout,4 Bedroom,Rocid P,2792,4.0,1.0,220.0,494,-1,0,4.0
Built-up  Area,Ready To Move,Kammanahalli,1 Bedroom,,700,1.0,0.0,59.0,653,-1,0,1.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,May 2ge,1060,2.0,2.0,42.0,678,1,1,2.0
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Vantsra,1200,2.0,1.0,67.0,799,1,1,2.0
Built-up  Area,18-Dec,"Off Sarjapur Road, ",3 BHK,,1518,3.0,2.0,76.0,892,1,1,3.0
Built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,Ablmsol,1495,2.0,2.0,75.0,846,1,1,3.0
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,,1575,2.0,2.0,90.0,1033,1,1,2.0
Built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Brway G,1440,2.0,2.0,170.0,976,1,1,2.0
Super built-up  Area,18-Dec,Kasavanhalli,3 BHK,Goaysn ,1545,3.0,1.0,69.0,670,1,1,3.0
Built-up  Area,Ready To Move,Kengeri,3 BHK,Akdorli,1470,3.0,3.0,50.0,688,1,1,3.0
Super built-up  Area,Ready To Move,Cooke Town,3 BHK,,1500,3.0,3.0,95.0,346,1,1,3.0
Built-up  Area,Ready To Move,BTM Layout,3 BHK,Myace P,1450,2.0,2.0,81.0,177,1,1,3.0
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,,1179,2.0,1.0,49.0,544,1,1,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1650,3.0,2.0,110.0,72,1,1,3.0
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Arhid O,1095,2.0,2.0,32.0,304,1,1,3.0
Built-up  Area,18-Jan,Lal Bahadur Shastri Nagar,2 BHK,,856,2.0,1.0,48.0,749,1,1,2.0
Super built-up  Area,Ready To Move,Naganathapura,2 BHK,Malmsri,1143,2.0,1.0,62.0,845,1,1,2.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2.0,1.0,97.8,513,1,1,2.0
Built-up  Area,Ready To Move,Anjanapura,3 BHK,ACopsva,1280,2.0,2.0,45.0,129,1,1,3.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,,480,1.0,1.0,60.0,786,1,1,1.0
Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2.0,1.0,69.06,1252,1,1,2.0
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,,2493,3.0,,115.0,390,1,1,3.0
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,PantsAp,1290,2.0,1.0,120.0,786,1,1,2.0
Plot  Area,Ready To Move,Banjara Layout,5 Bedroom,,1200,5.0,2.0,96.0,212,-1,0,5.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Elodsre,1156,2.0,2.0,42.0,417,1,1,2.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1230,2.0,2.0,44.0,1148,1,1,2.0
Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1070,2.0,2.0,33.15,1245,1,1,2.0
Plot  Area,Immediate Possession,Devanahalli,,Emngs S,2100 - 5405,,,177.115,365,-1,0,
Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,ViistLa,1235,2.0,1.0,49.3,987,1,1,2.0
Built-up  Area,Ready To Move,6th block Koramangala,2 BHK,Krone S,1117,2.0,1.0,110.0,68,1,1,2.0
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,124.0,731,1,1,3.0
Plot  Area,Ready To Move,Jalahalli,4 Bedroom,,1200,4.0,0.0,90.0,589,-1,0,4.0
Super built-up  Area,Ready To Move,Venkatadri Layout,1 BHK,Raiyai ,600,1.0,1.0,43.0,1204,1,1,1.0
Super built-up  Area,Ready To Move,KR Puram,3 BHK,DSise S,1930,2.0,2.0,57.9,626,1,1,3.0
Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2.0,1.0,75.0,1252,1,1,2.0
Built-up  Area,Ready To Move,KR Puram,3 BHK,ViionMa,1452,3.0,3.0,60.0,626,1,1,3.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veale R,1355,2.0,3.0,78.0,1252,1,1,2.0
Built-up  Area,Ready To Move,HMT Layout,4 Bedroom,,7500,4.0,,425.0,490,-1,0,4.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2145,3.0,3.0,190.0,1039,1,1,3.0
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Varlsa ,957,2.0,1.0,53.0,269,1,1,2.0
Built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,925,2.0,2.0,48.0,1065,1,1,2.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Grntsd ,1550,2.0,3.0,59.0,236,1,1,2.0
Plot  Area,Ready To Move,Yelahanka New Town,4 Bedroom,,4000,2.0,1.0,899.0,1262,-1,0,4.0
Plot  Area,20-Jul,Kanakpura Road,3 Bedroom,,2100,3.0,2.0,140.0,664,-1,0,3.0
Super built-up  Area,21-Dec,Bannerghatta Road,2 BHK,PrarePa,1115,2.0,1.0,61.0,216,1,1,2.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1692,3.0,2.0,83.0,1261,1,1,3.0
Super built-up  Area,Ready To Move,Baba Nagar,2 BHK,,1100,2.0,2.0,52.0,180,1,1,2.0
Super built-up  Area,Ready To Move,Hormavu,3 BHK,ARureig,1385,2.0,2.0,69.0,535,1,1,3.0
Super built-up  Area,Ready To Move,Hosa Road,1 BHK,Amelllu,760,1.0,1.0,24.9,536,1,1,1.0
Super built-up  Area,19-Dec,Electronics City Phase 1,2 BHK,Shitt S,1335,2.0,2.0,67.0,422,1,1,2.0
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Kut 3or,910,2.0,1.0,45.0,269,1,1,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,MGBay T,1610,2.0,2.0,55.0,664,1,1,3.0
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1341,2.0,1.0,75.76,522,1,1,2.0
Plot  Area,Ready To Move,Kurubarahalli,3 Bedroom,,1200,3.0,0.0,70.0,733,-1,0,3.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1285,2.0,2.0,44.98,1179,1,1,3.0
Super built-up  Area,Ready To Move,HAL 2nd Stage,3 BHK,,2100,3.0,,252.0,486,1,1,3.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1679,3.0,,92.13,1267,1,1,3.0
Built-up  Area,Ready To Move,Puttappa Layout,4 Bedroom,,2675,4.0,2.0,290.0,946,-1,0,4.0
Built-up  Area,Ready To Move,"Ananthanagar Phase 1,Electronic City , phase 2",2 BHK,,1016,2.0,1.0,45.9,122,1,1,2.0
Built-up  Area,Ready To Move,Banashankari Stage II,4 Bedroom,,1500,2.0,0.0,650.0,202,-1,0,4.0
Plot  Area,Ready To Move,Palace Guttahalli,3 Bedroom,,660,2.0,1.0,100.0,910,-1,0,3.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2448,3.0,2.0,400.0,976,1,1,3.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,924,2.0,2.0,35.11,236,1,1,2.0
Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,Maian M,500,1.0,1.0,31.0,74,1,1,1.0
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,,1800,3.0,2.0,88.0,883,1,1,3.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Vixirri,1255,2.0,3.0,77.0,1252,1,1,2.0
Super built-up  Area,18-Dec,Hennur Road,2 BHK,Inaxyga,1040,2.0,2.0,50.0,522,1,1,2.0
Super built-up  Area,Ready To Move,Kattigenahalli,2 BHK,Vehida ,1062,2.0,2.0,47.0,677,1,1,2.0
Super built-up  Area,19-Dec,Varthur Road,2 BHK,Aseenh ,770 - 841,2.0,0.0,19.33,1191,1,1,2.0
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Nimesch,950,2.0,1.0,60.0,544,1,1,2.0
Super built-up  Area,18-May,Whitefield,2 BHK,Prtates,1216,2.0,1.0,73.0,1252,1,1,2.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,AdadeEs,1300,2.0,2.0,98.0,494,1,1,2.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1390,2.0,2.0,65.0,62,1,1,2.0
Super built-up  Area,19-Jul,Yelahanka,2 BHK,Goues A,1033,2.0,1.0,52.58,1261,1,1,2.0
Super built-up  Area,19-Dec,Yelahanka,2 BHK,Goues A,1390,2.0,2.0,65.31,1261,1,1,2.0
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,,1020,2.0,1.0,52.0,589,1,1,2.0
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1.0,0.0,34.735,1252,1,1,1.0
Super built-up  Area,18-Oct,Whitefield,2 BHK,ARipsul,1140,2.0,2.0,45.0,1252,1,1,2.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,670,1.0,1.0,36.85,1267,1,1,1.0
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2171,4.0,2.0,111.0,252,1,1,4.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Gundaa ,1136,2.0,1.0,48.0,216,1,1,2.0
Built-up  Area,Ready To Move,Doddakannelli,3 BHK,Sueesti,1477,2.0,2.0,80.0,392,1,1,3.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1001,2.0,2.0,30.0,626,1,1,2.0
Super built-up  Area,19-Dec,Yelahanka,2 BHK,Goues A,1040,2.0,1.0,48.86,1261,1,1,2.0
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1060,2.0,1.0,48.5,443,1,1,2.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,1240,2.0,1.0,44.3,1038,1,1,2.0
Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,ETntsce,3500,5.0,,450.0,280,1,1,4.0
Super built-up  Area,Ready To Move,Doddabommasandra,9 BHK,,42000,8.0,3.0,175.0,388,1,1,9.0
Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1070,2.0,2.0,46.0,1190,1,1,2.0
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SJmesst,1253,2.0,1.0,65.8,419,1,1,2.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Srmesun,1190,2.0,2.0,60.0,1252,1,1,2.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sparam ,1312,2.0,2.0,55.0,1252,1,1,2.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,750,2.0,0.0,40.0,626,1,1,2.0
Built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1615,3.0,2.0,115.0,713,1,1,3.0
Built-up  Area,Ready To Move,Marathahalli,2 BHK,,1095,2.0,1.0,60.0,799,1,1,2.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gotis A,1745,3.0,3.0,100.0,1252,1,1,3.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,52.5,964,1,1,2.0
Plot  Area,Ready To Move,4th T block Jayanagar,4 Bedroom,,2080,4.0,2.0,440.0,58,-1,0,4.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1220,2.0,1.0,44.6,1148,1,1,2.0
Super built-up  Area,Ready To Move,Kempegowda Nagar,3 BHK,Sonumy ,1793,3.0,2.0,98.0,684,1,1,3.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1100,1.0,2.0,45.0,1179,1,1,2.0
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,Covelrs,1385,2.0,3.0,65.0,1262,1,1,2.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1200,2.0,2.0,45.0,232,1,1,2.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2017,2.0,2.0,125.0,506,1,1,3.0
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,400,1.0,1.0,10.0,152,1,1,1.0
Super built-up  Area,18-Apr,Bellandur,3 BHK,,1400,2.0,2.0,44.81,236,1,1,3.0
Super built-up  Area,Ready To Move,Bethel Nagar,2 BHK,Saaveir,960,2.0,1.0,33.0,243,1,1,2.0
