area_type,availability,location,size,society,total_sqft,bath,balcony,price,location_numerical,,Number of Bedrooms
Super built-up  Area,Ready To Move,Kadugodi,2,,1152,2,2,610000,635,,
Super built-up  Area,Ready To Move,Subramanyapura,2,,958,2,1,344900,1115,,
Super built-up  Area,Ready To Move,Whitefield,2,SrireSo,1150,2,2,550000,1252,,
Super built-up  Area,Ready To Move,Old Madras Road,3,Brica E,2990,5,1,1730000,896,,
Super built-up  Area,Ready To Move,Bellandur,2,Trows M,1310,2,2,850000,236,,
Super built-up  Area,Ready To Move,Hosur Road,3,Saageat,1590,2,2,1260000,544,,
Super built-up  Area,Ready To Move,Green Glen Layout,3,SoosePr,1645,3,2,1100000,474,,
Built-up  Area,Ready To Move,Veerabhadra Nagar,3,,1800,2,2,1000000,1201,,
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1795,3,2,1500000,1148,,
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,,1100,2,3,350000,74,,
Super built-up  Area,18-Nov,Thanisandra,1,Bhe 2ko,620 - 934,1,0,385350,1148,,
Super built-up  Area,Ready To Move,Kalkere,2,Sothin ,925,2,2,700000,643,,
Super built-up  Area,Ready To Move,Basavangudi,3,,1542.14,3,3,1200000,223,,
Plot  Area,Ready To Move,Konanakunte,4,Prasa W,3746,6,1,3750000,708,,
Super built-up  Area,Ready To Move,Thanisandra,3,MenueNo,1430,2,2,540000,1148,,
Super built-up  Area,Ready To Move,Bommanahalli,2,Jaw 2 L,1020,2,2,550000,269,,
Plot  Area,Ready To Move,Ramamurthy Nagar Extension,4,,750,2,1,420000,991,,
Super built-up  Area,18-May,Electronic City Phase II,2,Sryalan,1140,2,1,329200,419,,
Built-up  Area,Ready To Move,Anekal,3,,967,2,1,450000,126,,
Super built-up  Area,19-Jun,Hebbal,4,Raard B,2470,4,2,2030000,513,,
Built-up  Area,Ready To Move,Maruthi Nagar,2,PavanSa,850,1,0,355000,809,,
Super built-up  Area,Ready To Move,Vidhyanagar Cross,2,,1100,2,2,320000,1213,,
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1697,3,2,1100000,1148,,
Super built-up  Area,Ready To Move,Varthur,2,,1250,2,2,470000,1190,,
Super built-up  Area,Ready To Move,Gottigere,2,Pridei ,1120,2,2,500000,466,,
Plot  Area,Ready To Move,NRI Layout,4,,1200,4,0,950000,841,,
Plot  Area,Ready To Move,Hennur Road,5,,5100,6,3,3750000,522,,
Plot  Area,Ready To Move,7th Block Jayanagar,4,,2400,3,2,4800000,70,,
Super built-up  Area,Ready To Move,Hebbal,2,,1200,2,1,520000,513,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1100,2,1,440000,72,,
Super built-up  Area,Ready To Move, Devarachikkanahalli,3,,1417,2,2,760000,5,,
Built-up  Area,Ready To Move,Thanisandra,3,Bhmesy ,1492,3,1,880000,1148,,
Super built-up  Area,22-Nov,Devanahalli,3,Sabixtt,1498,3,3,791500,365,,
Built-up  Area,Ready To Move,Bellari Road,4,Sohid O,3500,2,1,3500000,238,,
Super built-up  Area,Ready To Move,Kundalahalli,2,Rasom B,1010,2,1,482700,731,,
Super built-up  Area,Ready To Move,Hennur,2,Shateor,1255,2,2,535000,518,,
Super built-up  Area,Ready To Move,Channasandra,2,Unm 2El,1050,2,1,350000,306,,
Super built-up  Area,Ready To Move,Hegde Nagar,3,SoitaCa,1847,3,2,1250000,515,,
Super built-up  Area,18-May,1st Stage Indira Nagar,2,,1200,2,2,550000,31,,
Super built-up  Area,Ready To Move,Bellandur,2,,982,2,2,372800,236,,
Super built-up  Area,Ready To Move,Hegde Nagar,3,SoisoCa,2144.6,4,2,1450000,515,,
Super built-up  Area,Ready To Move,Kengeri,2,VBeriav,750,2,1,365000,688,,
Super built-up  Area,Ready To Move,Electronic City,2,Itvir M,919,2,2,350000,417,,
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1087,2,1,543000,278,,
Built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3,Bustain,1480,3,2,740000,1122,,
Built-up  Area,Ready To Move,Tindlu,2,,1180,2,2,520000,1165,,
Super built-up  Area,Ready To Move,6th Block Jayanagar,3,,2100,4,2,2550000,65,,
Super built-up  Area,Ready To Move,Jigani,3,DLhtsan,1221,3,2,650000,606,,
Super built-up  Area,Ready To Move,Haralur Road,2,,1194,2,2,460000,506,,
Built-up  Area,Ready To Move,Thanisandra,3,MSureRR,2072,3,2,1220000,1148,,
Built-up  Area,18-Dec,Whitefield,3,,1600,3,2,690000,1252,,
Super built-up  Area,Ready To Move,Sahakara Nagar,3,,2200,3,2,980000,1025,,
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,3,2200000,976,,
Super built-up  Area,Ready To Move,Kaikondrahalli,2,Srsica ,1253,2,2,815000,639,,
Super built-up  Area,Ready To Move,Hennur Road,2,Koagati,1061,2,1,549200,522,,
Super built-up  Area,Ready To Move,Marathahalli,3,,1950,3,2,1150000,799,,
Built-up  Area,Ready To Move,Marathahalli,2,Suvals ,1250,2,2,680000,799,,
Super built-up  Area,Ready To Move,Hennur Road,3,MItatHa,1585,2,3,800000,522,,
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1452,3,3,609800,664,,
Super built-up  Area,Ready To Move,Kammasandra,2,Prncy R,1015,2,2,370000,654,,
Super built-up  Area,19-Aug,Begur Road,4,Pruthg ,2462 - 2467,6,0,1180000,232,,
Super built-up  Area,Ready To Move,Marathahalli,2,,1125,2,2,568000,799,,
Super built-up  Area,18-May,Electronic City Phase II,2,MJtroty,1116,2,2,400000,419,,
Built-up  Area,Ready To Move,Kadarenahalli,1,,400,1,0,350000,633,,
Super built-up  Area,Ready To Move,Kasavanhalli,4,Vaidsi ,4000,4,2,3250000,670,,
Super built-up  Area,Ready To Move,Hebbal,4,RMudeat,3900,4,2,4100000,513,,
Super built-up  Area,Ready To Move,Old Madras Road,2,Sastaat,1300,2,2,1000000,896,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1419,2,1,604200,972,,
Super built-up  Area,Ready To Move,Punappa Layout,3,DSionhe,1310,2,1,550000,944,,
Super built-up  Area,Ready To Move,Thigalarapalya,3,Prtanha,2072,4,2,1520000,1153,,
Built-up  Area,Ready To Move,Kaggadasapura,2,KKersow,1240,2,1,585800,637,,
Built-up  Area,Ready To Move,Chamrajpet,3,,1565,3,2,989100,302,,
Super built-up  Area,Ready To Move,Budigere,3,PrityTr,1820,3,2,890000,278,,
Plot  Area,Ready To Move,Gubbalala,3,,2500,3,1,880000,478,,
Plot  Area,Ready To Move,KR Puram,5,Skdia A,3657,5,,3100000,626,,
Super built-up  Area,Ready To Move,Hosa Road,2,,1245,2,1,620000,536,,
Super built-up  Area,Ready To Move,GM Palaya,3,MSuntra,1315,3,1,650000,433,,
Super built-up  Area,Ready To Move,Kenchenahalli,3,Unateit,1410,2,2,730000,686,,
Super built-up  Area,Ready To Move,Dasarahalli,2,Indesve,1375,2,1,600000,360,,
Super built-up  Area,Ready To Move,Old Madras Road,2,Sastaat,1299,2,2,950000,896,,
Super built-up  Area,Ready To Move,Pampa Extension,2,Pancy R,993,2,3,455000,913,,
Plot  Area,Ready To Move,Bommasandra Industrial Area,2,,1200,3,0,450000,271,,
Super built-up  Area,Ready To Move,Lavelle Road,2,,985,2,1,1560000,754,,
Built-up  Area,Ready To Move,4th Block Koramangala,4,,2400,5,3,1800000,56,,
Super built-up  Area,18-Nov,Hebbal,3,Magiaya,1255,2,1,950000,513,,
Super built-up  Area,22-Jun,Hoodi,3,GoAirej,1655,3,2,1310000,530,,
Super built-up  Area,18-Dec,Whitefield,4,Prtates,2830,5,3,1900000,1252,,
Super built-up  Area,Ready To Move, Sector 1 HSR Layout,1,,6000,1,1,2760000,9,,
Built-up  Area,Ready To Move,Electronic City,2,Itelaa ,550,1,1,150000,417,,
Super built-up  Area,Ready To Move,Balaji Gardens Layout,1,,825,2,1,400000,189,,
Super built-up  Area,20-Aug,Begur Road,3,Pruthg ,1634,3,1,1110000,232,,
Plot  Area,Ready To Move,Kogilu,8,,1200,6,3,1050000,707,,
Super built-up  Area,Ready To Move,Banaswadi,2,,1222,2,2,800000,208,,
Super built-up  Area,Ready To Move,Gottigere,3,Pridei ,1500,3,2,630000,466,,
Super built-up  Area,Ready To Move,Akshaya Nagar,3,,1890,4,2,1000000,98,,
Built-up  Area,Ready To Move,Hegde Nagar,4,Sotosty,3750,6,2,3750000,515,,
Super built-up  Area,Ready To Move,Hulimavu,2,,850,1,1,395000,549,,
Super built-up  Area,Ready To Move,Whitefield,2,Veales ,1295,2,3,785000,1252,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2,DSndsod,1320,2,1,1000000,1039,,
Built-up  Area,Ready To Move,ISRO Layout,4,,950,3,3,1790000,554,,
Plot  Area,Ready To Move,Hebbal,4,,1200,4,2,2250000,513,,
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4,,3000,3,3,1700000,43,,
Built-up  Area,Ready To Move,Harlur,2,,1197,2,1,820000,509,,
Super built-up  Area,Ready To Move,Hoysalanagar,3,,1320,2,3,600000,547,,
Plot  Area,Ready To Move,Billekahalli,5,,1180,5,2,985000,264,,
Super built-up  Area,20-Dec,Whitefield,1,Oreldhi,840,1,1,576000,1252,,
Super built-up  Area,20-Dec,Whitefield,1,Somns T,540 - 740,1,0,198300,1252,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,1,713800,972,,
Super built-up  Area,Ready To Move,Kodihalli,2,,1000,2,1,620000,705,,
Built-up  Area,Ready To Move,Babusapalaya,2,AReenui,1305,2,1,700000,181,,
Built-up  Area,Ready To Move,Kodichikkanahalli,1,Jae 1ke,450,1,1,180000,702,,
Super built-up  Area,Ready To Move,CV Raman Nagar,1,Pu270a ,705,1,1,570000,292,,
Super built-up  Area,Ready To Move,Ilyas Nagar,4,,750,6,2,750000,561,,
Built-up  Area,Ready To Move,Tumkur Road,5,,4800,5,2,1500000,1168,,
Built-up  Area,Ready To Move,Koramangala Industrial Layout,4,,5000,5,,6000000,714,,
Plot  Area,Ready To Move,Gubbalala,4,,5000,4,3,4250000,478,,
Built-up  Area,18-Dec,Whitefield,3,,1991,3,2,1040000,1252,,
Super built-up  Area,Ready To Move,Battarahalli,3,PaontWa,1779,3,2,900000,230,,
Plot  Area,Ready To Move,Whitefield,4,Adowslm,10200,4,1,12500000,1252,,
Super built-up  Area,Ready To Move,Banaswadi,2,RailsDa,870,2,2,380000,208,,
Super built-up  Area,18-May,Thanisandra,3,Bhmesy ,1595,3,2,1200000,1148,,
Super built-up  Area,21-Dec,Kanakpura Road,1,PrarePa,525,1,1,260000,664,,
Plot  Area,Ready To Move,Ramamurthy Nagar,4,,945,5,2,1200000,990,,
Plot  Area,18-Apr,Basaveswarnagar,6,,2400,4,2,4200000,227,,
Super built-up  Area,18-Dec,Iblur Village,3,DNionfl,2000,4,2,1380000,559,,
Super built-up  Area,Ready To Move,Yelahanka,3,NCana,1614,3,2,930000,1261,,
Super built-up  Area,Ready To Move,Gottigere,2,,1200,2,3,400000,466,,
Built-up  Area,Ready To Move,Electronic City Phase II,3,Sravehi,1150,3,3,460000,419,,
Super built-up  Area,Ready To Move,Indira Nagar,4,,3200,4,,4400000,563,,
Super built-up  Area,18-Dec,Sonnenahalli,3,Skacak ,1610,3,2,804800,1093,,
Super built-up  Area,Ready To Move,Whitefield,2,,1190,2,2,410000,1252,,
Super built-up  Area,Ready To Move,Kallumantapa,2,SMncyy ,1050,2,2,500000,645,,
Plot  Area,Ready To Move,Vaishnavi Layout,4,Prsisge,4800,5,2,4200000,1186,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brnia G,1460,2,1,970000,72,,
Super built-up  Area,Ready To Move,Jaymahal Road,3,,3400,3,3,4000000,603,,
Plot  Area,Ready To Move,Naganathapura,1,,600,1,0,330000,845,,
Built-up  Area,Ready To Move,Suraksha Nagar,3,AritaFe,1569,3,0,700000,1127,,
Built-up  Area,18-Dec,"Off Sarjapur Road, ",3,,2600,3,2,1470000,892,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,1,Shiaa S,645,1,0,425000,422,,
Plot  Area,Ready To Move,Nagarbhavi Garden Villas Layout,4,,1200,3,1,1800000,850,,
Plot  Area,Ready To Move,Nagarbhavi,3,,800,3,0,950000,848,,
Built-up  Area,Ready To Move,Mico Layout,2,,800,2,1,800000,822,,
Super built-up  Area,Ready To Move,Marathahalli,2,Asintas,1350,2,1,900000,799,,
Super built-up  Area,Ready To Move,BTM 2nd Stage,3,SNe 2ev,2780,4,1,3250000,175,,
Super built-up  Area,18-Mar,Rajarajeshwari Nagara,3,,1410,2,2,451200,981,,
Super built-up  Area,Ready To Move,Whitefield,2,SMuilan,1109,2,1,354700,1252,,
Super built-up  Area,Ready To Move,Vasanth nagar,4,LeeyaCa,2000,3,2,10630000,1194,,
Built-up  Area,Ready To Move,Agrahara Dasarahalli,1,,800,1,0,720000,94,,
Super built-up  Area,Ready To Move,Bannerghatta Road,2,SNity S,1215,2,1,680000,216,,
Plot  Area,Ready To Move,Basaveshwara Nagar,8,,1230,6,0,2500000,225,,
Built-up  Area,Ready To Move,Prithvi Layout,3,Prigh L,2273,4,2,1920000,941,,
Super built-up  Area,18-Aug,Varthur Road,2,,1255,2,2,527600,1191,,
Super built-up  Area,Ready To Move,B Narayanapura,2,,1020,2,1,490000,160,,
Super built-up  Area,18-Jul,T R Mill Road,3,,1225,2,2,820000,1134,,
Super built-up  Area,Ready To Move,Singasandra,2,,1120,2,1,600000,1084,,
Plot  Area,Ready To Move,Victoria Layout,5,,2400,5,3,6250000,1212,,
Super built-up  Area,Ready To Move,Kasavanhalli,3,Conixt ,1225,2,1,690000,670,,
Plot  Area,Ready To Move,Whitefield,4,UKe 2nz,5200,5,3,2420000,1252,,
Built-up  Area,Ready To Move,Indira Nagar,4,,4000,4,1,7000000,563,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Puallhi,1984,4,1,1450000,1039,,
Super built-up  Area,Ready To Move,Old Madras Road,3,Saciatt,2425,3,1,1970000,896,,
Plot  Area,18-Sep,ITPL,3,,1200,3,1,561200,557,,
Super built-up  Area,18-Aug,Bommasandra,2,DSoodil,1127,2,1,450000,270,,
Built-up  Area,18-Jun,Whitefield,3,,1655,3,2,970000,1252,,
Super built-up  Area,18-Aug,Ananth Nagar,1,,500,1,1,140000,121,,
Plot  Area,18-Jul,Varthur,3,,1200,3,1,683800,1190,,
Super built-up  Area,Ready To Move,Kaggadasapura,2,P num P,1000,2,2,430000,637,,
Super built-up  Area,18-Jul,CV Raman Nagar,2,,1225,2,2,478800,292,,
Super built-up  Area,Ready To Move,Hormavu,2,Hedosme,1350,2,2,450000,535,,
Plot  Area,18-Apr,Nagarbhavi,4,,600,5,3,950000,848,,
Super built-up  Area,Ready To Move,Sahakara Nagar,2,Mosom B,1175,2,3,490000,1025,,
Super built-up  Area,Ready To Move,Sanne Amanikere,1,Hoxiaa ,655,1,2,270000,1035,,
Super built-up  Area,19-Mar,Hosa Road,3,Skume R,1311,2,1,848600,536,,
Plot  Area,Ready To Move,Banashankari Stage VI,3,,600,4,0,900000,205,,
Carpet  Area,Ready To Move,CV Raman Nagar,2,Mancyes,1000,2,1,385000,292,,
Super built-up  Area,Ready To Move,Indira Nagar Stage 2,2,,1196,2,1,960000,565,,
Built-up  Area,Ready To Move,Kanakpura Road,3,Wiowsri,1050,2,1,590000,664,,
Super built-up  Area,Ready To Move,Somasundara Palya,3,,1275,2,2,520000,1089,,
Carpet  Area,Ready To Move,Hommadevanahalli,2,,927,2,1,500000,528,,
Super built-up  Area,Ready To Move,Varthur,3,CaestSr,1520,2,3,610000,1190,,
Plot  Area,Ready To Move,BTM Layout 2nd Stage 1st Phase,4,,2400,5,2,3950000,179,,
Built-up  Area,Ready To Move,Hebbal,2,Prersis,1333,2,1,1040000,513,,
Super built-up  Area,18-Mar,Tunganagara,1,DSdidSp,600,1,0,180000,1169,,
Super built-up  Area,18-Sep,Abbigere,3,DSestma,1326,2,1,348000,86,,
Super built-up  Area,18-Mar,Sarjapur  Road,3,PualeSk,1618 - 1929,,,851250,1039,,
Built-up  Area,Ready To Move,Koramangala,2,KHage G,1370,2,2,1250000,713,,
Super built-up  Area,Ready To Move,Koramangala,2,KHage G,1100,2,2,850000,713,,
Super built-up  Area,Ready To Move,Haralur Road,3,,1650,3,3,1000000,506,,
Super built-up  Area,18-May,Kasavanhalli,3,,1917,3,2,1320000,670,,
Carpet  Area,Ready To Move,Doddakannelli,3,,780,3,,750000,392,,
Super built-up  Area,Ready To Move,Billekahalli,2,Raony C,950,2,1,581100,264,,
Super built-up  Area,Ready To Move,T C Palya main Road,2,,1175,2,1,487200,1130,,
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,,1089,2,1,435500,74,,
Super built-up  Area,Ready To Move,Kalena Agrahara,3,Prillot,1804,3,2,1750000,641,,
Super built-up  Area,Ready To Move,Hoodi,2,Keers S,1257,2,1,685000,530,,
Super built-up  Area,Ready To Move,Sarjapur,1,SNityVe,650,1,2,198700,1038,,
Super built-up  Area,Ready To Move,Whitefield,3,BrlisCo,1850,3,2,1500000,1252,,
Built-up  Area,Ready To Move,Vishwapriya Nagar,4,,2800,4,1,2000000,1237,,
Built-up  Area,Ready To Move,Vidyaranyapura,2,,945,2,,400000,1216,,
Super built-up  Area,22-Dec,Koramangala,2,,1161,2,1,638500,713,,
Super built-up  Area,17-Apr,Banashankari Stage V,3,Naiewre,1630,3,2,513500,204,,
Super built-up  Area,Ready To Move,Jalahalli,3,DSons S,1310,2,2,600000,589,,
Super built-up  Area,Ready To Move,Lake City,2,,750,2,1,280000,740,,
Plot  Area,18-Sep,Whitefield,3,,1200,3,1,677700,1252,,
Super built-up  Area,Ready To Move,Vittal Nagar,2,Riave E,1000,2,1,450000,1241,,
Plot  Area,Ready To Move,Old Madras Road,4,,4000,4,2,2250000,896,,
Built-up  Area,Ready To Move,Nagavara,2,,1315,2,2,700000,853,,
Super built-up  Area,Ready To Move,Sahakara Nagar,3,NCensun,1370,2,2,900000,1025,,
Plot  Area,Ready To Move,Ulsoor,5,,1200,4,3,1500000,1176,,
Built-up  Area,Ready To Move,Bellandur,2,Ocavees,1465,3,3,900000,236,,
Plot  Area,Ready To Move,JP Nagar,3,,20000,3,,1750000,575,,
Super built-up  Area,18-Apr,Electronic City,2,Praun,1128,2,1,640000,417,,
Super built-up  Area,Ready To Move,Padmanabhanagar,3,Silusti,1250,2,2,700000,907,,
Super built-up  Area,19-Jun,Hebbal,3,Raard B,1645,3,2,1170000,513,,
Super built-up  Area,Ready To Move,Horamavu Agara,3,,1284,2,2,750000,533,,
Super built-up  Area,18-Mar,Hebbal,3,SNontle,2600,3,2,1990000,513,,
Super built-up  Area,19-Jun,Kodigehalli,3,,1820,3,2,1500000,704,,
Super built-up  Area,Ready To Move,Haralur Road,3,,1580,3,1,730000,506,,
Built-up  Area,Ready To Move,Akshaya Nagar,3,,2650,3,2,1250000,98,,
Super built-up  Area,Ready To Move,Bannerghatta Road,2,SNity S,1215,2,1,680000,216,,
Super built-up  Area,Ready To Move,Uttarahalli,2,,1075,2,1,400000,1179,,
Super built-up  Area,Ready To Move,R.T. Nagar,3,JaniaGa,1400,2,3,780000,948,,
Super built-up  Area,Ready To Move,Subramanyapura,3,,1400,2,1,550000,1115,,
Built-up  Area,Ready To Move,Bisuvanahalli,2,Prityel,845,2,1,300000,268,,
Super built-up  Area,Ready To Move,Hegde Nagar,4,,2600,4,3,400000,515,,
Built-up  Area,Ready To Move,Sarjapur,4,Prldsum,3508 - 4201,6,0,3855000,1038,,
Super built-up  Area,Ready To Move,Richards Town,2,,800,2,1,850000,1004,,
Super built-up  Area,Ready To Move,Panathur,2,Prcesvy,1199,2,1,850000,914,,
Super built-up  Area,Ready To Move,Gunjur,2,Akncyes,1175,2,2,434800,484,,
Plot  Area,Ready To Move,Sahakara Nagar,3,,2400,3,,2700000,1025,,
Super built-up  Area,Ready To Move,Bellandur,3,OriewLa,1767,3,2,1090000,236,,
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Asncywo,1800,3,1,900000,1039,,
Super built-up  Area,18-Aug,Talaghattapura,3,Sodgere,1856,3,2,1350000,1141,,
Plot  Area,Ready To Move,R.T. Nagar,3,,1200,3,,1400000,948,,
Super built-up  Area,18-Jun,Rajaji Nagar,3,Puwerun,1613,3,0,1500000,976,,
Super built-up  Area,Ready To Move,Jakkur,4,Cruran ,6830,5,,7950000,584,,
Built-up  Area,Ready To Move,Whitefield,2,,1290,2,0,900000,1252,,
Super built-up  Area,Ready To Move,Kasavanhalli,2,HMonymp,1375,2,1,780000,670,,
Super built-up  Area,Ready To Move,Bagalur,2,Haows M,985,2,2,570000,185,,
Plot  Area,Ready To Move,Jeevan bima nagar,4,,1200,4,1,2000000,604,,
Super built-up  Area,Ready To Move,Singasandra,2,,1099,2,1,375000,1084,,
Super built-up  Area,18-Mar,Electronic City,1,Sidin J,605,1,0,133100,417,,
Super built-up  Area,Ready To Move,1 Immadihalli,11,,6000,12,,1500000,16,,
Built-up  Area,Ready To Move,RMV Extension Stage 2,7,,3600,7,3,1600000,956,,
Super built-up  Area,Ready To Move,Marathahalli,2,Srers T,1200,2,1,530000,799,,
Built-up  Area,Ready To Move,Hulimavu,2,Chtali ,1000,2,1,450000,549,,
Super built-up  Area,Ready To Move,Electronic City,3,Itvir M,1159,2,3,380000,417,,
Super built-up  Area,Ready To Move,Sarjapur  Road,5,Adeatlm,3692,5,,3400000,1039,,
Plot  Area,Ready To Move,Devi Nagar,2,,600,2,1,800000,374,,
Plot  Area,Ready To Move,4th Block Koramangala,4,,2400,4,3,6000000,56,,
Built-up  Area,Ready To Move,BTM Layout,3,Myace P,1540,2,2,780000,177,,
Built-up  Area,Ready To Move,"JP Nagar 7th Phase, ",3,,1503,2,2,930000,576,,
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,SoechHa,1850,4,2,1200000,110,,
Built-up  Area,Ready To Move,Uttarahalli,3,Sungspr,1580,3,1,600000,1179,,
Super built-up  Area,Ready To Move,Mico Layout,2,Amsomun,1190,2,2,392500,822,,
Plot  Area,Ready To Move,Sampigehalli,2,,1200,2,1,610000,1032,,
Plot  Area,Ready To Move,HAL 2nd Stage,7,,1000,7,3,2500000,486,,
Super built-up  Area,18-Nov,Jakkur,2,,850,1,1,199000,584,,
Super built-up  Area,Ready To Move,Domlur,3,,2180,3,2,2850000,402,,
Super built-up  Area,Ready To Move,Hennur Bande,3,,2500,2,1,600000,519,,
Plot  Area,18-Dec,ITPL,3,,1200,3,1,561200,557,,
Super built-up  Area,Ready To Move,Kamakshipalya,3,,1500,2,2,520000,647,,
Plot  Area,Ready To Move,Navodaya Nagar,5,,1200,3,2,1800000,870,,
Super built-up  Area,Ready To Move,Thanisandra,3,R ra  R,1880,3,3,1200000,1148,,
Super built-up  Area,Ready To Move,Padmanabhanagar,2,Saalpas,1150,2,2,450000,907,,
Plot  Area,18-May,Kasavanhalli,4,,4408,4,2,3440000,670,,
Super built-up  Area,Ready To Move,Bellandur,2,,924,2,2,351100,236,,
Super built-up  Area,Ready To Move,Sarjapur  Road,5,Maana E,7800,6,,3850000,1039,,
Plot  Area,Ready To Move,Kumaraswami Layout,6,,600,6,3,1000000,727,,
Plot  Area,18-Feb,Pattanagere,4,,750,4,1,950000,921,,
Built-up  Area,Ready To Move,Karuna Nagar,3,CoinoCu,1962,3,2,1750000,669,,
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5,,1200,4,3,2400000,43,,
Super built-up  Area,18-Nov,B Narayanapura,3,,1765,3,2,772700,160,,
Super built-up  Area,Ready To Move,Attibele,2,DSvar S,1174,2,1,293500,152,,
Super built-up  Area,19-Jun,Bannerghatta Road,3,Saenett,1894,3,1,1150000,216,,
Plot  Area,Ready To Move,Ramamurthy Nagar,4,,960,2,2,1380000,990,,
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3,Saitya ,1760,3,2,1420000,1053,,
Built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3,,1768,3,3,950000,393,,
Built-up  Area,Ready To Move,Kothanur,3,Somumys,1790,3,0,970000,716,,
Plot  Area,17-Jul,Kumara Pa,4,,3500,5,1,8000000,725,,
Plot  Area,18-Dec,Whitefield,2,,1200,2,1,450000,1252,,
Built-up  Area,Ready To Move,Kengeri,4,Unuil T,2540,4,0,1600000,688,,
Super built-up  Area,Ready To Move,Mahadevpura,2,Neisei ,1137,2,1,534000,773,,
Super built-up  Area,22-May,Jakkur,4,SoineC ,2249.81 - 4112.19,,,2290000,584,,
Plot  Area,Ready To Move,Guni Agrahara,7,,1200,6,,1150000,483,,
Super built-up  Area,Ready To Move,Mysore Road,3,SaodySa,1568,2,2,1000000,837,,
Built-up  Area,Ready To Move,Devanahalli,4,Pardst ,4900 - 4940,4,0,3935000,365,,
Super built-up  Area,Ready To Move,AECS Layout,2,Concyvi,1308,2,1,600000,80,,
Super built-up  Area,19-Aug,Shankarapuram,4,,3060,4,2,3500000,1060,,
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1200,2,1,410000,268,,
Super built-up  Area,Ready To Move,Shetty Halli,1,,800,1,2,320000,1069,,
Super built-up  Area,19-Dec,Electronic City,1,Shntie ,530,1,1,135000,417,,
Built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,873,2,1,400000,268,,
Plot  Area,Ready To Move,AGB Layout,7,,3000,6,3,1450000,81,,
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,4,,1200,4,1,2350000,42,,
Super built-up  Area,Ready To Move,Subramanyapura,2,,958,2,1,335300,1115,,
Super built-up  Area,Ready To Move,Thigalarapalya,3,Prtanha,2072,4,2,1600000,1153,,
Super built-up  Area,21-Dec,Talaghattapura,3,Sodgere,2273,3,3,1590000,1141,,
Plot  Area,18-May,Banashankari Stage VI,3,,600,3,2,900000,205,,
Super built-up  Area,Ready To Move,Thanisandra,1,Bhmesy ,760,1,2,500000,1148,,
Super built-up  Area,Ready To Move,Dommasandra,2,,1090,2,2,435000,404,,
Super built-up  Area,Ready To Move,Thigalarapalya,3,Prtanha,2072,4,2,1550000,1153,,
Super built-up  Area,Ready To Move,Bellandur,3,,2666,3,1,2300000,236,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,KPiteEl,1550,2,1,890000,1039,,
Super built-up  Area,18-Aug,Ramagondanahalli,2,ViistLa,1251,2,1,500000,987,,
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,530000,417,,
Super built-up  Area,Ready To Move,Kalena Agrahara,2,,1200,2,2,450000,641,,
Built-up  Area,Ready To Move,CV Raman Nagar,3,Srshq T,1435,2,2,600000,292,,
Built-up  Area,Ready To Move,Bommasandra,3,Niara S,1400,2,3,450000,270,,
Super built-up  Area,Ready To Move,Judicial Layout,4,MNnia E,2330,3,2,947100,612,,
Super built-up  Area,Ready To Move,Thanisandra,2,Inulat ,1200,2,3,600000,1148,,
Super built-up  Area,Ready To Move,Panathur,2,,1000,2,2,400000,914,,
Super built-up  Area,18-Sep,Bannerghatta Road,3,DSnjh S,1655,2,2,628900,216,,
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,9,,3600,9,3,2400000,972,,
Plot  Area,Ready To Move,Bidrahalli,1,,600,1,1,350000,258,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,Avine A,1175,2,1,500000,422,,
Super built-up  Area,Ready To Move,Uttarahalli,2,SLnssPr,1155,2,2,404300,1179,,
Plot  Area,Ready To Move,Magadi Road,3,Anensva,1200,3,2,980000,772,,
